Frequency (Hz)	Level (dB)
1078.125000	-51.909687
1079.101562	-53.452579
1080.078125	-52.386826
1081.054688	-53.056950
1082.031250	-52.604847
1083.007812	-51.592571
1083.984375	-52.911453
1084.960938	-53.085972
1085.937500	-52.915020
1086.914062	-51.993080
1087.890625	-52.018742
1088.867188	-52.194321
1089.843750	-51.515415
1090.820312	-52.715656
1091.796875	-51.081032
1092.773438	-51.397755
1093.750000	-52.280552
1094.726562	-52.582272
1095.703125	-51.066700
1096.679688	-50.346817
1097.656250	-52.144787
1098.632812	-49.842838
1099.609375	-50.706589
1100.585938	-50.104553
1101.562500	-50.422451
1102.539062	-50.850693
1103.515625	-50.864433
1104.492188	-50.564629
1105.468750	-51.771832
1106.445312	-51.199528
1107.421875	-50.737843
1108.398438	-50.305161
1109.375000	-51.232658
1110.351562	-50.611435
1111.328125	-49.995571
1112.304688	-51.781963
1113.281250	-49.960442
1114.257812	-50.592575
1115.234375	-50.989471
1116.210938	-50.697197
1117.187500	-50.401104
1118.164062	-50.446362
1119.140625	-49.959450
1120.117188	-50.866001
1121.093750	-49.588734
1122.070312	-49.185955
1123.046875	-49.676090
1124.023438	-50.233143
1125.000000	-49.456280
1125.976562	-50.298222
1126.953125	-49.769577
1127.929688	-50.217113
1128.906250	-49.480968
1129.882812	-48.856209
1130.859375	-50.253487
1131.835938	-49.346046
1132.812500	-50.338585
1133.789062	-48.871296
1134.765625	-49.760044
1135.742188	-48.392696
1136.718750	-48.890446
1137.695312	-49.886387
1138.671875	-49.091511
1139.648438	-50.426739
1140.625000	-49.387199
1141.601562	-49.338455
1142.578125	-49.581539
1143.554688	-49.325596
1144.531250	-47.548447
1145.507812	-48.559666
1146.484375	-49.879044
1147.460938	-49.477146
1148.437500	-50.747368
1149.414062	-50.357151
1150.390625	-49.407864
1151.367188	-50.182865
1152.343750	-50.177650
1153.320312	-49.703831
1154.296875	-50.147793
1155.273438	-50.275131
1156.250000	-50.880394
1157.226562	-50.631264
1158.203125	-50.239952
1159.179688	-50.223824
1160.156250	-50.795052
1161.132812	-50.850098
1162.109375	-50.521732
1163.085938	-49.457966
1164.062500	-51.213825
1165.039062	-49.517750
1166.015625	-49.274769
1166.992188	-50.253719
1167.968750	-49.899986
1168.945312	-52.300037
1169.921875	-51.418842
1170.898438	-51.027008
1171.875000	-51.344681
1172.851562	-50.667946
1173.828125	-50.925758
1174.804688	-50.802406
1175.781250	-51.167351
1176.757812	-50.659447
1177.734375	-51.129070
1178.710938	-50.612183
1179.687500	-51.488991
1180.664062	-51.716648
1181.640625	-51.257271
1182.617188	-51.340641
1183.593750	-50.888180
1184.570312	-51.152424
1185.546875	-49.941982
1186.523438	-51.571720
1187.500000	-49.856136
1188.476562	-50.947197
1189.453125	-50.781048
1190.429688	-52.257088
1191.406250	-52.458382
1192.382812	-51.473297
1193.359375	-51.196098
1194.335938	-53.133102
1195.312500	-52.382351
1196.289062	-53.754768
1197.265625	-52.899380
1198.242188	-53.275059
1199.218750	-52.727642
1200.195312	-50.708309
1201.171875	-53.193115
1202.148438	-52.521191
1203.125000	-52.873737
1204.101562	-52.802105
1205.078125	-53.022919
1206.054688	-53.406189
1207.031250	-51.528862
1208.007812	-52.527130
1208.984375	-53.167412
1209.960938	-53.384064
1210.937500	-53.815620
1211.914062	-53.071815
1212.890625	-53.390869
1213.867188	-53.076977
